Expense,Category
Paid for online classes,Education
Subscribed to a streaming service,Entertainment
Cleared tax dues,Taxes
Bought school supplies,Education
Bought cosmetics,Personal Expense
Bought snacks,Grocery
Bought clothes,Personal Expense
Paid doctor fees,Medical
Mortgage payment,Housing
Bought a lottery ticket,Miscellaneous
Advanced money for rent,Lent Money
Paid for online classes,Education
Bought cosmetics,Personal Expense
Deposited in savings account,saving
Bought books,Education
Attended a concert,Entertainment
Bicycle maintenance,Transport
Invested in stocks,saving
Bought movie tickets,Entertainment
Ate a burger,Food
Bought gifts,Miscellaneous
Paid for a haircut,Personal Expense
Provided funds to a family member,Lent Money
Paid GST,Taxes
Bought books,Education
Bought books,Education
Paid doctor fees,Medical
Paid for a subscription,Miscellaneous
Bought furniture,Housing
Bought books,Education
Bought medicines,Medical
Invested in stocks,saving
Paid for a video game,Entertainment
Attended a concert,Entertainment
Bought clothes,Personal Expense
Property tax payment,Taxes
Scheduled surgery,Medical
Paid for a subscription,Miscellaneous
Paid for health insurance,Medical
Property tax payment,Taxes
Bought school supplies,Education
Ate a burger,Food
Paid for a video game,Entertainment
Bought vegetables,Grocery
Paid for a haircut,Personal Expense
Paid GST,Taxes
Purchased coffee,Food
Bought groceries,Food
Paid for a video game,Entertainment
Attended a concert,Entertainment
Bought a book,Entertainment
Gave loan to a colleague,Lent Money
Visited a dentist,Medical
Loaned money for a project,Lent Money
Bought fruits,Grocery
Bought a gadget,Miscellaneous
Contributed to retirement fund,saving
Attended a concert,Entertainment
Paid for online classes,Education
Uber ride,Transport
Paid for a haircut,Personal Expense
Paid for gym membership,Personal Expense
Subscribed to a streaming service,Entertainment
Paid GST,Taxes
Filed tax returns,Taxes
Filed tax returns,Taxes
Purchased dairy products,Grocery
Cleared tax dues,Taxes
Paid for online classes,Education
Bought a book,Entertainment
Bought bonds,saving
Bought a gadget,Miscellaneous
Gave loan to a colleague,Lent Money
Purchased dairy products,Grocery
Gave loan to a colleague,Lent Money
Ordered groceries online,Grocery
Scheduled surgery,Medical
Paid income tax,Taxes
Bought school supplies,Education
Visited a dentist,Medical
Paid for health insurance,Medical
Paid GST,Taxes
Bought snacks,Grocery
Scheduled surgery,Medical
Scheduled surgery,Medical
